Date,Bloomberg Barclays Euro Government Inflation-Linked Bond All Maturities
18-02-2020,229.5044
17-02-2020,229.8743
14-02-2020,229.8237
13-02-2020,229.7323
12-02-2020,229.1583
11-02-2020,228.7989
10-02-2020,229.5196
07-02-2020,229.5045
06-02-2020,229.3894
05-02-2020,229.6227
04-02-2020,229.8023
03-02-2020,229.8378
31-01-2020,230.1548
30-01-2020,229.7301
29-01-2020,229.3287
28-01-2020,228.6788
27-01-2020,228.761
24-01-2020,227.6365
23-01-2020,227.4852
22-01-2020,226.7719
21-01-2020,226.7977
20-01-2020,226.6818
17-01-2020,226.5061
16-01-2020,226.2278
15-01-2020,226.6329
14-01-2020,226.3231
13-01-2020,225.882
10-01-2020,226.502
09-01-2020,225.9755
08-01-2020,226.2539
07-01-2020,226.6096
06-01-2020,227.1486
03-01-2020,227.0751
02-01-2020,225.9318
01-01-2020,225.556
31-12-2019,225.556
30-12-2019,225.5722
27-12-2019,226.4341
26-12-2019,226.0526
25-12-2019,226.0526
24-12-2019,226.0526
23-12-2019,226.0082
20-12-2019,226.2058
19-12-2019,226.1174
18-12-2019,226.4289
17-12-2019,226.9504
16-12-2019,226.4923
13-12-2019,226.8826
12-12-2019,225.9073
11-12-2019,226.3061
10-12-2019,225.8193
09-12-2019,225.7031
06-12-2019,225.1484
05-12-2019,224.9019
04-12-2019,225.8725
03-12-2019,226.0408
02-12-2019,224.8238
29-11-2019,226.1537
28-11-2019,225.7095
27-11-2019,225.6785
26-11-2019,225.8951
25-11-2019,225.9284
22-11-2019,226.0595
21-11-2019,225.9879
20-11-2019,226.1302
19-11-2019,225.9592
18-11-2019,226.4132
15-11-2019,226.1445
14-11-2019,225.8039
13-11-2019,225.8829
12-11-2019,225.8644
11-11-2019,225.5163
08-11-2019,226.0187
07-11-2019,226.5121
06-11-2019,227.545
05-11-2019,227.4031
04-11-2019,227.1922
01-11-2019,227.0213
31-10-2019,227.7305
30-10-2019,226.9935
29-10-2019,227.1379
28-10-2019,226.7285
25-10-2019,227.1065
24-10-2019,227.5197
23-10-2019,226.9786
22-10-2019,227.1622
21-10-2019,226.6949
18-10-2019,227.5056
17-10-2019,227.9569
16-10-2019,227.5944
15-10-2019,227.4211
14-10-2019,227.5313
11-10-2019,227.2887
10-10-2019,227.1523
09-10-2019,228.1123
08-10-2019,228.3288
07-10-2019,227.8711
04-10-2019,228.2006
03-10-2019,227.9908
02-10-2019,227.6456
01-10-2019,228.3743
30-09-2019,228.8032
27-09-2019,229.2323
26-09-2019,229.5411
25-09-2019,229.5855
24-09-2019,230.2365
23-09-2019,229.8833
20-09-2019,228.9525
19-09-2019,229.2479
18-09-2019,229.5115
17-09-2019,229.0536
16-09-2019,229.853
13-09-2019,228.8935
12-09-2019,230.5081
11-09-2019,228.7914
10-09-2019,228.3706
09-09-2019,229.1768
06-09-2019,230.3499
05-09-2019,229.6785
04-09-2019,230.4013
03-09-2019,230.2077
02-09-2019,229.5539
30-08-2019,229.9266
29-08-2019,230.7931
28-08-2019,230.7278
27-08-2019,230.4226
26-08-2019,229.2796
23-08-2019,229.1866
22-08-2019,229.0609
21-08-2019,229.4191
20-08-2019,229.5229
19-08-2019,228.8133
16-08-2019,229.5599
15-08-2019,230.4419
14-08-2019,228.1321
13-08-2019,227.789
12-08-2019,226.7641
09-08-2019,225.8234
08-08-2019,227.0145
07-08-2019,227.8853
06-08-2019,226.9759
05-08-2019,225.9545
02-08-2019,226.0039
01-08-2019,226.3897
31-07-2019,226.6797
30-07-2019,225.9688
29-07-2019,226.3317
26-07-2019,226.463
25-07-2019,225.8269
24-07-2019,225.9844
23-07-2019,224.9302
22-07-2019,224.884
19-07-2019,225.0778
18-07-2019,224.5232
17-07-2019,223.5822
16-07-2019,223.3
15-07-2019,223.0995
12-07-2019,222.3269
11-07-2019,222.5233
10-07-2019,222.7799
09-07-2019,222.5352
08-07-2019,222.879
05-07-2019,223.1307
04-07-2019,223.0312
03-07-2019,222.9052
02-07-2019,221.3153
01-07-2019,221.3465
28-06-2019,220.3676
27-06-2019,219.926
26-06-2019,219.9184
25-06-2019,220.1437
24-06-2019,220.4063
21-06-2019,220.4068
20-06-2019,221.0257
19-06-2019,219.6511
18-06-2019,219.818
17-06-2019,216.2908
14-06-2019,216.3325
13-06-2019,216.4196
12-06-2019,216.3264
11-06-2019,217.1213
10-06-2019,216.9205
07-06-2019,217.3354
06-06-2019,216.3612
05-06-2019,216.4227
04-06-2019,216.2273
03-06-2019,215.8088
31-05-2019,215.4118
30-05-2019,215.3712
29-05-2019,215.2319
28-05-2019,214.7888
27-05-2019,214.6804
24-05-2019,214.8393
23-05-2019,214.1955
22-05-2019,214.5494
21-05-2019,214.2458
20-05-2019,214.1104
17-05-2019,214.3956
16-05-2019,214.3403
15-05-2019,213.9857
14-05-2019,214.0521
13-05-2019,214.373
10-05-2019,214.4726
09-05-2019,214.4529
08-05-2019,215.1397
07-05-2019,215.2306
06-05-2019,215.1563
03-05-2019,215.4161
02-05-2019,215.3387
01-05-2019,215.5314
30-04-2019,215.5314
29-04-2019,215.0066
26-04-2019,214.715
25-04-2019,214.6573
24-04-2019,215.1427
23-04-2019,214.6789
22-04-2019,215.1238
19-04-2019,215.1238
18-04-2019,215.1238
17-04-2019,214.341
16-04-2019,214.4681
15-04-2019,214.5886
12-04-2019,214.7677
11-04-2019,215.2193
10-04-2019,215.2
09-04-2019,214.971
08-04-2019,214.8213
05-04-2019,214.63
04-04-2019,214.3877
03-04-2019,214.0509
02-04-2019,214.5692
01-04-2019,214.2575
29-03-2019,214.4576
28-03-2019,214.1885
27-03-2019,214.6236
26-03-2019,214.611
25-03-2019,214.7745
22-03-2019,215.072
21-03-2019,215.4695
20-03-2019,214.5216
19-03-2019,214.3647
18-03-2019,214.5804
15-03-2019,214.1178
14-03-2019,214.3402
13-03-2019,213.9359
12-03-2019,213.8235
11-03-2019,213.6098
08-03-2019,213.604
07-03-2019,214.4911
06-03-2019,213.4029
05-03-2019,212.7212
04-03-2019,212.478
01-03-2019,211.95
28-02-2019,211.7556
27-02-2019,211.431
26-02-2019,212.3126
25-02-2019,212.3331
22-02-2019,211.9297
21-02-2019,211.9507
20-02-2019,212.2573
19-02-2019,212.5157
18-02-2019,212.5918
15-02-2019,212.1928
14-02-2019,212.1171
13-02-2019,211.9078
12-02-2019,211.575
11-02-2019,211.2449
08-02-2019,211.0273
07-02-2019,211.7425
06-02-2019,212.271
05-02-2019,212.4564
04-02-2019,212.6276
01-02-2019,212.8337
31-01-2019,213.4717
30-01-2019,212.8688
29-01-2019,212.7963
28-01-2019,212.6852
25-01-2019,213.2106
24-01-2019,213.0652
23-01-2019,212.1847
22-01-2019,212.0542
21-01-2019,211.9673
18-01-2019,212.1319
17-01-2019,211.871
16-01-2019,212.2187
15-01-2019,211.953
14-01-2019,212.1458
11-01-2019,211.9197
10-01-2019,211.8965
09-01-2019,211.6858
08-01-2019,210.7084
07-01-2019,210.65
04-01-2019,210.7204
03-01-2019,210.9939
02-01-2019,211.883
01-01-2019,211.6688
31-12-2018,211.6688
28-12-2018,211.6749
27-12-2018,212.2766
26-12-2018,212.137
25-12-2018,212.137
24-12-2018,212.137
21-12-2018,212.1143
20-12-2018,213.1593
19-12-2018,212.9763
18-12-2018,212.6492
17-12-2018,212.7447
14-12-2018,212.9637
13-12-2018,212.8508
12-12-2018,212.7386
11-12-2018,212.307
10-12-2018,212.341
07-12-2018,212.2934
06-12-2018,212.1009
05-12-2018,212.5592
04-12-2018,212.4152
03-12-2018,212.0441
30-11-2018,211.3213
29-11-2018,211.1169
28-11-2018,210.2278
27-11-2018,210.3921
26-11-2018,210.2975
23-11-2018,208.9853
22-11-2018,210.0508
21-11-2018,209.8695
20-11-2018,209.9177
19-11-2018,210.2097
16-11-2018,210.9118
15-11-2018,211.0357
14-11-2018,210.8484
13-11-2018,211.3601
12-11-2018,211.8139
09-11-2018,211.8396
08-11-2018,211.6605
07-11-2018,211.9757
06-11-2018,211.7837
05-11-2018,212.1049
02-11-2018,211.7205
