Date,SPGSCI
11-04-2019,449.8527
10-04-2019,453.8408
09-04-2019,449.6799
08-04-2019,451.4433
05-04-2019,447.2702
04-04-2019,443.9269
03-04-2019,443.5055
02-04-2019,442.6892
01-04-2019,439.6993
29-03-2019,434.1253
28-03-2019,432.7982
27-03-2019,434.7438
26-03-2019,437.1117
25-03-2019,434.2945
22-03-2019,434.1738
21-03-2019,438.4115
20-03-2019,439.4947
19-03-2019,435.3795
18-03-2019,434.5167
15-03-2019,432.4751
14-03-2019,431.8132
13-03-2019,431.4948
12-03-2019,426.05
11-03-2019,423.7903
08-03-2019,421.8395
07-03-2019,423.3738
06-03-2019,422.7215
05-03-2019,424.3858
04-03-2019,423.0501
01-03-2019,421.3499
28-02-2019,426.3466
27-02-2019,426.773
26-02-2019,421.5147
25-02-2019,420.5328
22-02-2019,429.4461
21-02-2019,428.1907
20-02-2019,427.1003
19-02-2019,424.2099
15-02-2019,423.3971
14-02-2019,416.2431
13-02-2019,414.6913
12-02-2019,410.362
11-02-2019,406.2719
08-02-2019,407.8909
07-02-2019,406.1776
06-02-2019,412.0038
05-02-2019,410.2135
04-02-2019,412.6717
01-02-2019,413.3026
31-01-2019,407.8907
30-01-2019,410.3765
29-01-2019,407.1027
28-01-2019,401.2753
25-01-2019,409.6907
24-01-2019,406.6508
23-01-2019,405.7503
22-01-2019,406.5972
18-01-2019,413.2006
17-01-2019,406.0504
16-01-2019,406.2735
15-01-2019,404.3959
14-01-2019,399.6378
11-01-2019,402.925
10-01-2019,405.7726
09-01-2019,405.3552
08-01-2019,394.4705
07-01-2019,389.1942
04-01-2019,386.7994
03-01-2019,381.1982
02-01-2019,377.9058
31-12-2018,374.3282
28-12-2018,374.9827
27-12-2018,374.1741
26-12-2018,380.2251
24-12-2018,367.2925
21-12-2018,380.3173
20-12-2018,381.781
19-12-2018,392.6304
18-12-2018,387.8716
17-12-2018,400.479
14-12-2018,406.0863
13-12-2018,412.912
12-12-2018,407.9208
11-12-2018,409.5523
10-12-2018,408.3516
07-12-2018,416.2114
06-12-2018,407.6834
05-12-2018,415.7509
04-12-2018,417.0622
03-12-2018,414.7629
30-11-2018,406.5197
29-11-2018,408.1333
28-11-2018,404.3772
27-11-2018,406.197
26-11-2018,407.8924
23-11-2018,403.5558
21-11-2018,422.1278
20-11-2018,418.3737
19-11-2018,435.2445
16-11-2018,432.3761
15-11-2018,429.9821
14-11-2018,432.8292
13-11-2018,426.4164
12-11-2018,441.4706
09-11-2018,440.5506
08-11-2018,443.3456
07-11-2018,447.2286
06-11-2018,446.9656
05-11-2018,451.2855
02-11-2018,450.5379
01-11-2018,450.8188
31-10-2018,456.3168
30-10-2018,459.7746
29-10-2018,465.4103
26-10-2018,468.08
25-10-2018,465.1067
24-10-2018,463.9168
23-10-2018,464.035
22-10-2018,475.3219
19-10-2018,474.7219
18-10-2018,472.8017
17-10-2018,477.9863
